TYPE,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO3,ISO3,SUPP_INFO,CONS_OBJ
Polygon,138689,138689,1,Croham Hurst,Croham Hurst,Site Of Special Scientific Interest (Uk),Site Of Special Scientific Interest (Gb),National,IV,Not Applicable,0,0,0,0.3393,0.338832773515,Not Applicable,0,Designated,1984,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1839,Not Reported,GBR,GBR,Not Applicable,Not Applicable
Polygon,139581,139581,1,Mountain Meadows,Mountain Meadows,Site Of Special Scientific Interest (Uk),Site Of Special Scientific Interest (Gb),National,IV,Not Applicable,0,0,0,0.0507,0.0506619916023,Not Applicable,0,Designated,1984,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1839,Not Reported,GBR,GBR,Not Applicable,Not Applicable
Polygon,136562,136562,1,Iping Common,Iping Common,Site Of Special Scientific Interest (Uk),Site Of Special Scientific Interest (Gb),National,IV,Not Applicable,0,0,0,1.2544,1.25264152376,Not Applicable,0,Designated,1986,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1839,Not Reported,GBR,GBR,Not Applicable,Not Applicable
Polygon,138273,138273,1,Kingley Vale,Kingley Vale,Site Of Special Scientific Interest (Uk),Site Of Special Scientific Interest (Gb),National,IV,Not Applicable,0,0,0,2.0449,2.04212288012,Not Applicable,0,Designated,1986,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1839,Not Reported,GBR,GBR,Not Applicable,Not Applicable
Polygon,138888,138888,1,Ruxley Gravel Pits,Ruxley Gravel Pits,Site Of Special Scientific Interest (Uk),Site Of Special Scientific Interest (Gb),National,IV,Not Applicable,0,0,0,0.1873,0.187057651751,Not Applicable,0,Designated,1985,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1839,Not Reported,GBR,GBR,Not Applicable,Not Applicable
Polygon,137229,137229,1,"Rough Bank, Miserden","Rough Bank, Miserden",Site Of Special Scientific Interest (Uk),Site Of Special Scientific Interest (Gb),National,IV,Not Applicable,0,0,0,0.0926,0.0924390426002,Not Applicable,0,Designated,1986,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1839,Not Reported,GBR,GBR,Not Applicable,Not Applicable
Polygon,138496,138496,1,Hubbard'S Hill,Hubbard'S Hill,Site Of Special Scientific Interest (Uk),Site Of Special Scientific Interest (Gb),National,IV,Not Applicable,0,0,0,0.6659,0.664969583151,Not Applicable,0,Designated,1996,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1839,Not Reported,GBR,GBR,Not Applicable,Not Applicable
Polygon,138593,138593,1,Chichester Harbour,Chichester Harbour,Site Of Special Scientific Interest (Uk),Site Of Special Scientific Interest (Gb),National,IV,Not Applicable,1,0,26.3649996132,37.3478,37.3074864845,Not Reported,0,Designated,1985,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1839,Not Reported,GBR,GBR,Not Applicable,Not Applicable
Polygon,138606,138606,1,"Selsey, East Beach","Selsey, East Beach",Site Of Special Scientific Interest (Uk),Site Of Special Scientific Interest (Gb),National,IV,Not Applicable,0,0,0,0.0174,0.0173957168947,Not Applicable,0,Designated,1988,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1839,Not Reported,GBR,GBR,Not Applicable,Not Applicable
Polygon,138801,138801,1,Old Park Wood,Old Park Wood,Site Of Special Scientific Interest (Uk),Site Of Special Scientific Interest (Gb),National,IV,Not Applicable,0,0,0,0.1715,0.171268053949,Not Applicable,0,Designated,1984,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1839,Not Reported,GBR,GBR,Not Applicable,Not Applicable
Polygon,138819,138819,1,Riddlesdown,Riddlesdown,Site Of Special Scientific Interest (Uk),Site Of Special Scientific Interest (Gb),National,IV,Not Applicable,0,0,0,0.3465,0.345997810568,Not Applicable,0,Designated,1988,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1839,Not Reported,GBR,GBR,Not Applicable,Not Applicable
Polygon,138854,138854,1,Elmstead Pit,Elmstead Pit,Site Of Special Scientific Interest (Uk),Site Of Special Scientific Interest (Gb),National,IV,Not Applicable,0,0,0,0.0005,0.000487901520475,Not Applicable,0,Designated,1985,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1839,Not Reported,GBR,GBR,Not Applicable,Not Applicable
Polygon,138913,138913,1,Harrow Weald,Harrow Weald,Site Of Special Scientific Interest (Uk),Site Of Special Scientific Interest (Gb),National,IV,Not Applicable,0,0,0,0.035,0.0349463714198,Not Applicable,0,Designated,1987,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1839,Not Reported,GBR,GBR,Not Applicable,Not Applicable
Polygon,137058,137058,1,Seale Chalk Pit,Seale Chalk Pit,Site Of Special Scientific Interest (Uk),Site Of Special Scientific Interest (Gb),National,IV,Not Applicable,0,0,0,0.0122,0.0122277514713,Not Applicable,0,Designated,1989,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1839,Not Reported,GBR,GBR,Not Applicable,Not Applicable
Polygon,138852,138852,1,"Shallam Dyke Marshes, Thurne","Shallam Dyke Marshes, Thurne",Site Of Special Scientific Interest (Uk),Site Of Special Scientific Interest (Gb),National,IV,Not Applicable,0,0,0,0.6976,0.696319810182,Not Applicable,0,Designated,1986,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1839,Not Reported,GBR,GBR,Not Applicable,Not Applicable
Polygon,138926,138926,1,Aberithon And Bedw Turbaries,Aberithon And Bedw Turbaries,Site Of Special Scientific Interest (Uk),Site Of Special Scientific Interest (Gb),National,IV,Not Applicable,0,0,0,0.1151,0.1149494625,Not Applicable,0,Designated,1981,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1839,Not Reported,GBR,GBR,Not Applicable,Not Applicable
Polygon,136962,136962,1,Moor Park,Moor Park,Site Of Special Scientific Interest (Uk),Site Of Special Scientific Interest (Gb),National,IV,Not Applicable,0,0,0,0.0674,0.0673441041466,Not Applicable,0,Designated,1987,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1839,Not Reported,GBR,GBR,Not Applicable,Not Applicable
Polygon,136976,136976,1,Papercourt,Papercourt,Site Of Special Scientific Interest (Uk),Site Of Special Scientific Interest (Gb),National,IV,Not Applicable,0,0,0,0.7007,0.699633242292,Not Applicable,0,Designated,1986,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1839,Not Reported,GBR,GBR,Not Applicable,Not Applicable
Polygon,136986,136986,1,Ockham And Wisley Commons,Ockham And Wisley Commons,Site Of Special Scientific Interest (Uk),Site Of Special Scientific Interest (Gb),National,IV,Not Applicable,0,0,0,2.6608,2.65695504867,Not Applicable,0,Designated,1986,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1839,Not Reported,GBR,GBR,Not Applicable,Not Applicable
Polygon,136998,136998,1,Puttenham & Crooksbury Commons,Puttenham & Crooksbury Commons,Site Of Special Scientific Interest (Uk),Site Of Special Scientific Interest (Gb),National,IV,Not Applicable,0,0,0,1.1391,1.1374323128,Not Applicable,0,Designated,1986,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1839,Not Reported,GBR,GBR,Not Applicable,Not Applicable
