,TYPE,WDPAID,WDPA_PID,NAME,REP_M_AREA,STATUS_YR,PARENT_ISO3
1945,Polygon,1138,1138,Munghorn Gap,0.0,2001,AUS
1948,Polygon,1154,1154,Severn River,0.0,2006,AUS
1949,Polygon,1148,1148,Sherwood,0.0,2003,AUS
1952,Polygon,1130,1130,Pilliga,0.0,2011,AUS
1955,Polygon,1136,1136,Winburndale,0.0,2009,AUS
1957,Polygon,1129,1129,Yathong,0.0,2015,AUS
1963,Polygon,12965,12965,Towra Point,0.0,2008,AUS
1965,Polygon,10586,10586,Dananbilla,0.0,2015,AUS
1966,Polygon,10588,10588,Lake Innes,0.0,2005,AUS
1967,Polygon,10585,10585,Burrinjuck,0.0,2011,AUS
1970,Polygon,10600,10600,Cutta Cutta Caves,0.0,2002,AUS
1971,Polygon,10601,10601,Ruby Gap,0.0,2002,AUS
1972,Polygon,2625,2625,Trephina Gorge,0.0,2009,AUS
1973,Polygon,2627,2627,Maaroom,238.814763326167,2008,AUS
1974,Polygon,2641,2641,Corio Bay,46.9920327848742,2009,AUS
1975,Polygon,12956,12956,Yorkeys Creek,1.21231868079957,2009,AUS
1978,Polygon,2630,2630,Conway,0.0,2014,AUS
1979,Polygon,406,406,Whitsunday Islands,0.0,2000,AUS
1981,Polygon,2632,2632,Flinders Group (Cape York Peninsula Aboriginal Land),0.0,2013,AUS
1982,Polygon,404,404,Bowling Green Bay,0.0,2010,AUS
1984,Polygon,460,460,Lizard Island,0.0,2000,AUS
1985,Polygon,444,444,Barron Gorge,0.0,2010,AUS
1987,Polygon,410,410,Cape Melville (Cape York Peninsula Aboriginal Land),0.0,2013,AUS
1988,Polygon,440,440,Mount Walsh,0.0,2009,AUS
1991,Polygon,442,442,Mount Aberdeen,0.0,2010,AUS
1993,Polygon,456,456,Orpheus Island,0.0,2000,AUS
1994,Polygon,435,435,Castle Tower,0.0,2010,AUS
1995,Polygon,451,451,Clump Mountain,0.0,2010,AUS
1996,Polygon,462,462,Hull River,0.0,2008,AUS
1997,Polygon,9477,9477,Eubenangee Swamp,0.0,2003,AUS
1999,Polygon,454,454,Russell River,0.0,2008,AUS
2000,Polygon,426,426,Southwood,0.0,2001,AUS
2002,Polygon,441,441,Porcupine Gorge,0.0,2004,AUS
2003,Polygon,463,463,Grey Peaks,0.0,2015,AUS
2005,Polygon,436,436,Mazeppa,0.0,2001,AUS
2006,Polygon,447,447,Endeavour River,0.0,2009,AUS
2007,Polygon,432,432,Eurimbula,0.0,2009,AUS
2011,Polygon,428,428,Blackdown Tableland,0.0,2006,AUS
2012,Polygon,9475,9475,Littabella,0.0,2009,AUS
2014,Polygon,12912,12912,Meunga Creek,4.3195212180407,2001,AUS
2018,Polygon,510,510,Deep Creek,0.0,2010,AUS
2019,Polygon,489,489,Mount Remarkable,0.0,2000,AUS
2020,Polygon,2665,2665,Nullarbor,0.0,2006,AUS
2027,Polygon,478,478,Billiatt,0.0,2008,AUS
2035,Polygon,2672,2672,Dudley,0.0,2010,AUS
2038,Polygon,494,494,Gum Lagoon,0.0,2002,AUS
2045,Polygon,4681,4681,Seal Bay,0.0,2010,AUS
2053,Polygon,2669,2669,Munyaroo,0.0,2009,AUS
2059,Polygon,12913,12913,Murray River,0.0,2009,AUS
2060,Polygon,15051,15051,Nehalim Gedolim (harhava 1),0.0,2008,ISR
2061,Polygon,4698,4698,Chalky Island,0.0,2000,AUS
2062,Polygon,4699,4699,Egg Islands,0.0,2000,AUS
2063,Polygon,4700,4700,Gull Island,0.0,2000,AUS
2064,Polygon,5330,5330,Mile Island,0.0,2000,AUS
2065,Polygon,5327,5327,Lackrana,0.0,2002,AUS
2066,Polygon,2678,2678,Logan Lagoon,0.0,2002,AUS
2067,Polygon,5249,5249,Medeas Cove,0.0,2012,AUS
2070,Polygon,4693,4693,Petrel Islands,0.0,2007,AUS
2071,Polygon,5333,5333,Port Cygnet,0.0,2007,AUS
2072,Polygon,2412,2412,Southwest,0.0,2012,AUS
2073,Polygon,5336,5336,Tathams Lagoon,0.0,2000,AUS
2077,Polygon,4694,4694,Stack Island,0.0,2007,AUS
2079,Polygon,517,517,Ben Lomond,0.0,2000,AUS
2080,Polygon,522,522,Maria Island,0.0,2007,AUS
2081,Polygon,525,525,Narawntapu,0.0,2000,AUS
2082,Polygon,527,527,Rocky Cape,0.0,2002,AUS
2099,Polygon,5304,5304,East Risdon,0.0,2001,AUS
2101,Polygon,5236,5236,Fairy Glade,0.0,2011,AUS
2106,Polygon,1168,1168,Lavinia,0.0,2011,AUS
2108,Polygon,1170,1170,Lime Bay,0.0,2001,AUS
2109,Polygon,5242,5242,Hellyer Gorge,0.0,2008,AUS
2110,Polygon,5244,5244,Holwell Gorge,0.0,2011,AUS
2113,Polygon,5255,5255,Mount Montgomery,0.0,2011,AUS
2114,Polygon,5260,5260,Roger River,0.0,2008,AUS
2115,Polygon,5267,5267,The Nut,0.0,2008,AUS
2120,Polygon,5266,5266,Tessellated Pavement,0.0,2008,AUS
2123,Polygon,2690,2690,Bronzewing B.R.,0.0,2002,AUS
2124,Polygon,2694,2694,Mount Bolangum N.C.R.,0.0,2010,AUS
2128,Polygon,533,533,Hattah - Kulkyne,0.0,2011,AUS
2129,Polygon,549,549,The Lakes,0.0,2001,AUS
2131,Polygon,2710,2710,French Island,0.0,2002,AUS
2134,Polygon,2403,2403,Port Campbell,0.0,2008,AUS
2136,Polygon,2029,2029,Croajingolong,0.0,2013,AUS
2137,Polygon,10607,10607,Grampians,0.0,2001,AUS
2146,Polygon,2687,2687,Gippsland Lakes Coastal Park,0.0,2001,AUS
2149,Polygon,562,562_B,Stirling Range,0.0,2011,AUS
2154,Polygon,579,579,Yanchep,0.0,2002,AUS
2155,Polygon,570,570_B,Yalgorup,0.0,2001,AUS
2156,Polygon,570,570_C,Yalgorup,0.0,2002,AUS
2187,Polygon,12946,12946,Half Moon Creek,2.08625590737857,2001,AUS
2188,Polygon,12949,12949,Maroochy,6.14756201563852,2014,AUS
2193,Polygon,12921,12921,Tully River,6.55826528469155,2001,AUS
2194,Polygon,2646,2646,Tin Can Inlet,15.1702529762387,2008,AUS
2197,Polygon,12998,12998,Garig Gunak Barlu,2233.63567546319,2002,AUS
2198,Polygon,12947,12947,Halifax,53.0649947440533,2003,AUS
2199,Polygon,12903,12903,Burrum,33.5667285276919,2015,AUS
2200,Polygon,12919,12919,Silver Plains,521.11830435623,2010,AUS
2201,Polygon,12910,12910,Kippa-Ring,8.17962972398253,2012,AUS
2203,Polygon,12945,12945,Fraser Island,435.856232530778,2008,AUS
2204,Polygon,12936,12936,Barr Creek,0.63499281503015,2001,AUS
2205,Polygon,2648,2648,Noosa River (Rev.2),59.8022166655334,2008,AUS
2206,Polygon,12917,12917,Rodds Harbour,118.499348290863,2003,AUS
2207,Polygon,12904,12904,Colosseum Inlet,100.013030061589,2003,AUS
2208,Polygon,12937,12937,Bohle River,47.8875254037244,2012,AUS
2209,Polygon,12905,12905,Dallachy Creek,16.8918225709927,2001,AUS
2210,Polygon,12948,12948,Kolan River,18.8567338972979,2001,AUS
2211,Polygon,12906,12906,Escape River,275.182886482788,2010,AUS
2212,Polygon,12940,12940,Cattle-Palm Creek,71.2995403097915,2011,AUS
2216,Polygon,2650,2650,Pumicestone Channel,46.1198977863769,2011,AUS
2219,Polygon,2628,2628_D,Great Barrier Reef,15027.2921282765,2004,AUS
2220,Polygon,2628,2628_E,Great Barrier Reef,213769.414189332,2004,AUS
2221,Polygon,2628,2628_A,Great Barrier Reef,859.525188033863,2004,AUS
2222,Polygon,2628,2628_B,Great Barrier Reef,114309.849699496,2004,AUS
2223,Polygon,2645,2645,Kauri Creek,64.9168089872432,2008,AUS
2224,Polygon,12920,12920,Temple Bay,193.988775228127,2010,AUS
2227,Polygon,12923,12923,Wreck Creek,12.2111543821773,2001,AUS
2270,Polygon,10846,10846,Estação Ecológica De Aiuaba,0.0,2001,BRA
2308,Polygon,15945,15945,Parque Estadual Do Forno Grande,0.0,2013,BRA
2348,Polygon,14915,14915,Yehuddiya-Gamla,0.0,2003,ISR
2350,Polygon,14927,14927,Parq Ha-Yarden (Golan),0.0,2003,ISR
2374,Polygon,14961,14961,Nahal Bezet (harhava),0.0,2009,ISR
2379,Polygon,14964,14964,Hof Rosh Ha-Niqra,0.0,2003,ISR
2398,Polygon,14993,14993,Hof Galim,0.0,2013,ISR
2401,Polygon,15003,15003,Nahal Poleg,0.0,2011,ISR
2402,Polygon,14996,14996,Nahal HaTaninim,0.0,2015,ISR
2403,Polygon,13744,13744,Yam Dor Ha-Bonim,0.0,2002,ISR
2424,Polygon,15017,15017,Midbar Yehuda,0.0,2003,ISR
2442,Polygon,305,305,San Miguel,0.0,2010,URY
2492,Polygon,1240,1240,Dja,0.0,2007,CMR
2495,Polygon,1245,1245,Lobéké,0.0,2001,CMR
2499,Polygon,1242,1242,Campo-Ma'an,0.0,2000,CMR
2541,Polygon,9186,9186,Kaiso Tonya,0.0,2002,UGA
2557,Polygon,7913,7913,Cajas,0.0,2003,ECU
2559,Polygon,2238,2238,Manglares Churute,0.0,2001,ECU
2561,Polygon,183,183,Cayambe Coca,0.0,2010,ECU
2562,Polygon,188,188,Sangay,0.0,2004,ECU
2678,Polygon,15089,15089,Ifrane National Park,0.0,2004,MAR
2679,Polygon,17742,17742,Talassemtane National Park,0.0,2004,MAR
2680,Polygon,17710,17710,Merja Zerga,0.0,2014,MAR
2688,Polygon,12509,12509,Colima,0.0,2007,SLV
2707,Polygon,16846,16846,Copo,0.0,2000,ARG
2710,Polygon,12231,12231,Dolphin Park,0.002784,2007,BLZ
2761,Polygon,12494,12494,El Imposible,0.0,2010,SLV
2766,Polygon,12524,12524,San Diego y San Felipe Las Barras,0.0,2009,SLV
2767,Polygon,9638,9638,Parque Nacional Montecristo,0.0,2008,SLV
2781,Polygon,5563,5563,Zurndorfer Eichenwald Und Hutweide,0.0,2008,AUT
2809,Polygon,5443,5443,Naturschutzgebiet Vilsalpsee,0.0,2002,AUT
